,company,year,Price,kms_driven,fuel_type
0,Hyundai,2007,80000,45000,Petrol
1,Mahindra,2006,425000,40,Diesel
2,Hyundai,2014,325000,28000,Petrol
3,Ford,2014,575000,36000,Diesel
4,Ford,2012,175000,41000,Diesel
5,Hyundai,2013,190000,25000,Petrol
6,Ford,2016,830000,24530,Diesel
7,Maruti,2015,250000,60000,Petrol
8,Skoda,2010,182000,60000,Petrol
9,Maruti,2015,315000,30000,Petrol
10,Hyundai,2014,415000,32000,Petrol
11,Mahindra,2015,320000,48660,Diesel
12,Hyundai,2007,80000,45000,Petrol
13,Mahindra,2006,425000,40,Diesel
14,Audi,2017,1000000,4000,Petrol
15,Audi,2014,500000,16934,Diesel
16,Mahindra,2016,350000,43000,Diesel
17,Maruti,2014,160000,35550,Petrol
18,Mahindra,2016,350000,43000,Diesel
19,Mahindra,2016,310000,39522,Diesel
20,Maruti,2015,75000,39000,Petrol
21,Hyundai,2012,100000,55000,Petrol
22,Hyundai,2012,100000,55000,Petrol
23,Hyundai,2012,100000,55000,Petrol
24,Maruti,2017,190000,72000,Petrol
25,Maruti,2016,290000,15975,Diesel
26,Maruti,2008,95000,70000,Petrol
27,Mahindra,2017,180000,23452,Diesel
28,Maruti,2014,385000,35522,Diesel
29,Mahindra,2015,250000,48508,Diesel
30,Maruti,2017,180000,15487,Petrol
31,Maruti,2013,105000,39000,Petrol
32,Maruti,2013,105000,39000,Petrol
33,Toyota,2012,650000,82000,Diesel
34,Renault,2018,689999,20000,Diesel
35,Skoda,2012,448000,68000,Diesel
36,Maruti,2017,549000,32000,Diesel
37,Renault,2012,501000,38000,Diesel
38,Renault,2013,489999,27000,Diesel
39,Honda,2011,280000,33000,Petrol
40,Maruti,2015,250000,60000,Petrol
41,Maruti,2013,349999,46000,Diesel
42,Honda,2013,284999,46000,Diesel
43,Honda,2015,345000,36000,Diesel
44,Honda,2015,499999,55000,Petrol
45,Datsun,2017,235000,16000,Petrol
46,Maruti,2010,249999,36000,Petrol
47,Mitsubishi,2015,1475000,47000,Diesel
48,Mahindra,2017,180000,23452,Diesel
49,Maruti,2014,385000,35522,Diesel
50,Mahindra,2015,250000,48508,Diesel
51,Maruti,2017,180000,15487,Petrol
52,Maruti,2013,105000,39000,Petrol
53,Maruti,2013,105000,39000,Petrol
54,Mahindra,2015,395000,35000,Diesel
55,Maruti,2017,220000,30874,Petrol
56,Honda,2017,170000,15000,Diesel
57,Maruti,2013,85000,29685,Petrol
58,Ford,2012,175000,41000,Diesel
59,Hyundai,2013,190000,25000,Petrol
60,Tata,2017,200000,130000,Diesel
61,Ford,2016,830000,24530,Diesel
62,Tata,2017,200000,130000,Diesel
63,Mahindra,2012,570000,19000,Diesel
64,Volkswagen,2014,315000,60000,Petrol
65,Skoda,2010,182000,60000,Petrol
66,Maruti,2015,315000,30000,Petrol
67,Chevrolet,2010,110000,41000,Petrol
68,Renault,2012,501000,35000,Diesel
69,Honda,2015,448999,54000,Petrol
70,Mini,2013,1891111,13000,Petrol
71,Datsun,2017,235000,16000,Petrol
72,Skoda,2011,159500,38200,Diesel
73,Honda,2015,344999,22000,Petrol
74,Honda,2015,344999,22000,Petrol
75,Renault,2014,449999,50000,Diesel
76,Mini,2013,1891111,13500,Petrol
77,Mahindra,2015,865000,30000,Diesel
78,Mahindra,2014,699000,50000,Diesel
79,Mahindra,2013,375000,20000,Diesel
80,Ford,2017,489999,39000,Petrol
81,Honda,2012,224999,30000,Petrol
82,Volkswagen,2019,1200000,3600,Diesel
83,Hyundai,2009,195000,32000,Petrol
84,Toyota,2010,351000,38000,Diesel
85,Hyundai,2008,160000,45000,Petrol
86,Toyota,2009,240000,35000,Petrol
87,Honda,2005,90000,50000,Petrol
88,Hyundai,2014,415000,32000,Petrol
89,Skoda,2011,155000,45863,Diesel
90,BMW,2011,600000,60500,Petrol
91,Maruti,2011,189500,12500,Petrol
92,Toyota,2013,350000,60000,Diesel
93,Ford,2012,210000,35000,Diesel
94,Maruti,2014,390000,35000,Petrol
95,Chevrolet,2012,135000,45000,Diesel
96,BMW,2009,1600000,35000,Petrol
97,Mahindra,2013,701000,38000,Diesel
98,Hyundai,2014,265000,18000,Petrol
99,Hyundai,2015,525000,35000,Diesel
100,Maruti,2013,372000,13349,Petrol
101,Maruti,2016,635000,29000,Petrol
102,Ford,2014,550000,44000,Diesel
103,Maruti,2016,575000,29000,Petrol
104,Maruti,2013,485000,42000,Diesel
105,Maruti,2012,155000,14000,Petrol
106,Hyundai,2014,345000,49000,Diesel
107,Honda,2014,325000,42000,Petrol
108,Hyundai,2012,329500,36200,Diesel
109,Ford,2014,195000,50000,Diesel
110,Maruti,2015,251111,55000,Petrol
111,Maruti,2014,569999,45000,Petrol
112,Maruti,2007,69999,51000,Petrol
113,Maruti,2014,299999,19000,Petrol
114,Maruti,2009,220000,46000,Petrol
115,Maruti,2013,399999,33000,Diesel
116,Maruti,2013,372000,13349,Petrol
117,Maruti,2015,450000,104000,Diesel
118,Toyota,2014,270000,55000,Petrol
119,Hyundai,2011,350000,33333,Diesel
120,Chevrolet,2012,158400,33600,Petrol
121,Maruti,2017,350000,5600,Petrol
122,Nissan,2011,179000,41000,Petrol
